"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Greg Heffer, Political Reporter","November 3, 2016 Thursday 3:05 PM GMT",,"Labour MP vows to use Article 50 ruling to force SECOND referendum on Brexit","994 words","Express Online",,
"SIMON HEFFER","November 6, 2016",,"Brexit will happen - the voters will be heard","991 words","The Sunday Telegraph (London)","NEWS; Pg. 24",
"Sathnam Sanghera","November 4, 2016 Friday",,"Sathnam Sanghera; Support for racial equality at work faces a perfect storm of challenges post Brexit","984 words","The Times (London)","BUSINESS; Pg. 41",
"Macer Hall","November 3, 2016 Thursday 8:56 PM GMT",,"Brexit: EU ruling on Article 50 is 'an affront to British people'","983 words","Express Online",,
"Reiss Smith","November 3, 2016 Thursday 10:10 AM GMT",,"Who is Gina Miller? Meet woman who won Article 50 High Court case and put brakes on Brexit","982 words","Express Online",,
,"November 5, 2016 Saturday",,"Blitzkrieg on Brexit","98 words","The Sun (England)","SPORT; Pg. 8",
"Katie Allen","November 8, 2016 Tuesday 7:00 AM GMT",,"Gold: key trends helping the metal keep its shine; Investors are buying gold amid uncertainty over Brexit and the US election, but high prices and changing tastes may hit sales","978 words","The Guardian","BUSINESS",
"Hugh Muir","November 8, 2016 Tuesday 7:00 AM GMT",,"Those MPs who fear Brexit should refuse to vote for it; It's not undemocratic. If those who represent us think article 50 will lead Britain to disaster they should stick to their principles and oppose it","975 words","The Guardian","OPINION",
"JAMES SLACK POLITICAL EDITOR FOR THE DAILY MAIL","November 5, 2016 Saturday 12:07 AM GMT",,"Nick Clegg the Brexit saboteur: Former Lib Dem leader is branded undemocratic as he reveals his plans to use unelected Peers to water down EU exit","973 words","MailOnline","NEWS",
"By Ben Kelly","November 7, 2016 Monday 2:01 PM GMT",,"If MPs are to decide on triggering Brexit, it'd help if they knew what they're talking about","972 words","telegraph.co.uk","NEWS",
"JACK BLANCHARD","November 10, 2016 Thursday",,"AMERICA'S BREXIT; PRESIDENT TRUMP: U.S. TURNS IN ON ITSELF AT THE BALLOT BOX Fears over loss of jobs and immigrants Voters fed up with out-of-touch elite","971 words","Daily Mirror","FEATURES; Pg. 8,9",
"Ben Chu","November 9, 2016 Wednesday 6:34 AM GMT",,"Who is in more trouble? America with Trump or Britain with Brexit?; Free trade, immigration, healthcare. Who - America or Britain - is likely to have it worse in the years ahead?","970 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Ben Chu","November 9, 2016 Wednesday 11:38 AM GMT",,"European Commission slashes UK 2017 growth forecast in half due to Brexit; The 1 per cent GDP forecastis worse than the latest projection from the Bank of England","97 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Peter Dominiczak, Political Editor and Christopher Hope, Chief Political Correspondent and Kate McCann, Senior Political Correspondent","November 3, 2016 Thursday 10:00 PM GMT",,"The plot to stop Brexit: the judges versus the people","966 words","telegraph.co.uk","NEWS",
"Polly Toynbee","November 3, 2016 Thursday 1:12 PM GMT",,"Brexit has caused havoc already. Now parliament must save us; Leaving the EU is the greatest threat to British wellbeing since 1945. The ruling on article 50 will test the mettle of our MPs","963 words","The Guardian","OPINION",
"Simon Johnson","November 9, 2016 Wednesday",,"Sturgeon to seek legal ruling that Brexit can only be triggered with Scottish consent; Sturgeon 'wrong' to insist UK cannot leave Europe without Scottish approval","962 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
"My View Ian Birrell COLUMNIST OF THE YEAR FOREIGN REPORTER OF THE YEAR","November 7, 2016",,"The battle for democracy; Our Brexit debate is poisonous - but we need open dialogue, now more than ever","962 words","i-Independent Print Ltd","NEWS; Pg. 19",
,"November 12, 2016",,"Parliament should be in on Brexit deal; The Opinion Matrix COMMENT FROM HOME & ABROAD ARTICLE 50 VOTE","96 words","i-Independent Print Ltd","FEATURES; Pg. 22",
,"November 4, 2016",,"Democratic implications are huge; The Opinion Matrix COMMENT FROM HOME & ABROAD BREXIT JUDGMENT","96 words","i-Independent Print Ltd","NEWS; Pg. 16",
"Francis Hoar","November 5, 2016 Saturday 1:52 PM GMT",,"The government has a good chance of winning the Brexit Supreme Court appeal - here's why; The judiciary cannot be blamed for determining the limits of the authority of the Crown, the role of the people and the power of Parliament. But that is not to say that they - or their power - are beyond criticism","958 words","The Independent (United Kingdom)","VOICES",
"By James Titcomb","November 13, 2016 Sunday 3:36 PM GMT",,"Brexit vote has not sparked a tech exodus","953 words","telegraph.co.uk","TECHNOLOGY",
"Owen Bowcott Legal affairs correspondent","November 7, 2016 Monday 12:12 PM GMT",,"Attorney general defends judges criticised over Brexit ruling; Jeremy Wright QC says he disagrees with judgment but trio were entitled to decide case in any way they chose","951 words","The Guardian","POLITICS",
,"November 5, 2016 Saturday",,"CLEGG (WITH A PALTRY EIGHT MPS) THE BREXIT SABOTEUR","951 words","DAILY MAIL (London)",,
"TOBY ORR","November 7, 2016 Monday",,"Brexit should be good for Africa, and Africa could be good for Brexit, too","950 words","The Daily Telegraph (London)","BUSINESS; Pg. 2",
"Janice Turner","November 5, 2016 Saturday",,"The idiots are winning in our age of anxiety; From media hysteria over the Brexit court ruling to the lunacy of the US election, it feels as if rational debate is dying","949 words","The Times (London)","EDITORIAL; Pg. 29",
"Roy Greenslade","November 4, 2016 Friday 1:28 PM GMT",,"The contradictory attacks of the Brexit-loving press; Mail, Telegraph, Express and Sun condemn article 50 ruling, hailing and decrying parliamentary sovereignty according to their needs","949 words","The Guardian","MEDIA",
"SURENDRA KUMAR","November 11, 2016 Friday 8:06 PM GMT",,"How Trump drove into American history in a bigger-then-BREXIT bulldozer","948 words","MailOnline","INDIANEWS",
"Jay Watts","November 8, 2016 Tuesday 8:00 AM GMT",,"When the world's so confused, should we just keep calm and carry on?; Faced with the uncertainties of Brexit and Donald Trump, the best response is to fight back against the forces that oppress us","948 words","The Guardian","OPINION",
"By Laura Hughes, Political Correspondent","November 4, 2016 Friday 7:50 AM GMT",,"Theresa May expected to tell EU boss Jean-Claude Juncker Brexit will not be blown off course by High Court ruling on Article 50","947 words","telegraph.co.uk","NEWS",
"Charles Falconer","November 4, 2016 Friday 6:00 PM GMT",,"The vicious assault on UK judges by the Brexit press is a threat to democracy; The judiciary is a vital pillar of our constitution. The government must defend it from these unconscionable attacks - or put all our freedoms at risk","946 words","The Guardian","OPINION",
"Lenore Taylor","November 11, 2016 Friday 10:30 PM GMT",,"First Brexit, then Trump: can Australia be spared a similar voter backlash?; Political alienation is relatively muted here because we have a system that leaves fewer people behind - and we must hold onto it","942 words","The Guardian","US NEWS",
,"November 5, 2016",,"After EU vote, we know how it feels; The Opinion Matrix COMMENT FROM HOME & ABROAD FROM BREXIT TO TRUMP","94 words","i-Independent Print Ltd","FEATURES; Pg. 16",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 6, 2016 Sunday 9:46 AM GMT",,"Nigel Farage warns of RIOTS on UK streets if MPs block Brexit as he tells nemesis Gina Miller: 'What part of leave don't you understand?'","938 words","MailOnline","NEWS",
"Lindsay McIntosh","November 8, 2016 Tuesday",,"SNP keeps the Brexit cards close to its chest; Michael Russell breathes new life into the nationalists' reputation for brinkmanship","935 words","The Times (London)","EDITORIAL; Pg. 32",
"By Patricia Hewitt","November 7, 2016 Monday 12:44 PM GMT",,"Britain and India are eager for a warm post-Brexit embrace","932 words","telegraph.co.uk","BUSINESS",
"Rob Merrick","November 3, 2016 Thursday 10:07 AM GMT",,"Brexit legal challenge wins: Theresa May must get approval to trigger Article 50, High Court rules; Ruling hailed as 'the chance to say no to an irresponsible hard Brexit that risks our economy and our jobs'","931 words","The Independent (United Kingdom)","UK POLITICS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE and RORY TINGLE FOR MAILONLINE","November 5, 2016 Saturday 9:07 PM GMT",,"What a shambles! Jeremy Corbyn's Brexit 'red lines' are shot down by his deputy Tom Watson just HOURS after he announces them","930 words","MailOnline","NEWS",
,"November 3, 2016 Thursday",,"Canada clears the path for post-Brexit Britain; Letters","93 words","The Express","LETTERS; Pg. 25",
"Francis Elliott","November 7, 2016 Monday",,"Rush Brexit through parliament, May urged; Plan to rubber-stamp Article 50 in a day","929 words","The Times (London)","NEWS; Pg. 1,2",
"David Smith","November 9, 2016 Wednesday",,"Improving productivity is essential to survival in a post-Brexit world","928 words","The Times (London)","BUSINESS; Pg. 49",
"Ben Chu","November 3, 2016 Thursday 11:53 AM GMT",,"Bank of England forecasts record inflation overshoot due to Hard Brexit fears; The Bank projects consumer price inflation rising to 2.7% in the final quarter of 2017","926 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Francis Elliott","November 10, 2016 Thursday",,"Tories now see bold leader who embodies the spirit of Brexit","924 words","The Times (London)","NEWS; Pg. 14,15",
"John Rentoul","November 7, 2016 Monday 10:37 AM GMT",,"Are referendums, like the one we had on Brexit, a tool of fascism - or the will of the people?; Our Chief Political Commentator reports from a conference on referendums, at which Ed Milibandsaid: 'If the vote was people trying to say politicians are not listening, the worst thing you can do is to say we're not going to listen to you'","924 words","The Independent (United Kingdom)","VOICES",
"Peter Dominiczak; Christopher Hope;Kate McCann","November 4, 2016 Friday",,"The judges versus the people; May pledges to uphold Brexit vote as High Court rules Article 50 must pass through Parliament ; Article 50 battle will lead to early election, say MPs","924 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
"Kenny Farquharson","November 11, 2016 Friday",,"We should trust the first minister over Brexit; The real divide is between the people fighting yesterday's battles and those fighting today's","923 words","The Times (London)","NEWS; Pg. 38",
"Ed Conway","November 4, 2016 Friday",,"Carney is just the man to see Brexit through; I've had my disagreements with him but he could become one of the finest ever Bank governors","923 words","The Times (London)","EDITORIAL; Pg. 28",
"LUCY PASHA-ROBINSON","November 4, 2016 Friday",,"The Supreme Court judges who will decide Brexit's fate","920 words","The Independent - Daily Edition","Pg. 12",
,"November 6, 2016 Sunday",,"Adams in Brexit call","92 words","The Sun (England)","NEWS; Pg. 7",
"RUTH HUGHES","November 6, 2016",,"City rocking to the new Brexit beat; Nissan's renewed investment in Sunderland is typical of this North-east city with its own Silicon Valley and £1.2billion reboot, reports RUTH HUGHES","917 words","Sunday Express","FEATURES; Pg. 18,19",
"Adam Lusher","November 3, 2016 Thursday 7:28 PM GMT",,"Riots, revolution and Ukip on steroids: what activists say will happen if Brexit is blocked; Parliamentary vote againstBrexit would be 'ultimate political hand grenade', say grassroots Leavecampaigners","917 words","The Independent (United Kingdom)","HOME NEWS",
"Francis Elliott","November 7, 2016 Monday",,"Rush Brexit through parliament, May urged; Plan to rubber-stamp Article 50 in a day","915 words","The Times (London)","NEWS; Pg. 1,2",
"Christopher Hope; Laura Hughes","November 5, 2016 Saturday",,"Phillips was furious over lack of promotion, MPs suggest; Brexit turmoil ; Resigning Tory wanted to become Attorney General, and was furious to miss out, insiders claim","915 words","The Daily Telegraph (London)","NEWS; Pg. 4,5",
"Matthew Norman","November 13, 2016 Sunday 3:41 PM GMT",,"The anti-Trump, anti-Brexit, 'whinge-o-rama' needs to end if the progressive left is to get its act together; Narrow electoral wins for Brexit and Trump are not reason to reimagine the democratic west as sliding irreversibly towards neo-fascism. They are twin sirens warning against the folly of smugly assuming that history will continue on the same trajectory without careful steering","913 words","The Independent (United Kingdom)","VOICES",
"RYAN SABEY","November 6, 2016 Sunday",,"PM PUTS HER FOOT DOWN; MAY GIVES BREXIT BLOCKERS A BLAST ; She warns opponents: Accept vote","913 words","The Sun (England)","NEWS; Pg. 10,11",
"Alison Little","November 8, 2016 Tuesday 10:50 PM GMT",,"Theresa May tells Brexit SABOTEURS to back off and honour vote to leave the EU","911 words","Express Online",,
"Andrew Tickell","November 7, 2016 Monday",,"We're no wiser about what Brexit means; The Westminster government's assessment of where Britain's interests lie remains opaque","911 words","The Times (London)","EDITORIAL; Pg. 26",
"Alex Massie","November 9, 2016 Wednesday",,"Brexit, the SNP and a case for ambivalence; Fanatics have made all the running on the two great constitutional issues of the moment","910 words","The Times (London)","EDITORIAL; Pg. 36",
"SHAUN CONNOLLY","November 7, 2016 Monday 11:36 PM GMT",,"'Brexit black hole' could force government to borrow extra £25bn by 2019, warns IFS; Lower growth forecasts set to push up Government borrowing and debt, 'leading to a significant increase in the deficit', economists warn","910 words","The Independent (United Kingdom)","UK POLITICS",
,"November 7, 2016 Monday",,"Prince slated for 'warning about Brexit'","91 words","Daily Mirror","NEWS; Pg. 4",
"By Natalie Evans","November 10, 2016 Thursday 11:44 PM GMT",,"Blind mystic who 'predicted Brexit, 9/11 and ISIS' warned Obama would be 'last US president'; Baba Vanga - known as the 'Nostradamus from the Balkans' - warned a crisis would prevent the 45th president from taking office","908 words","mirror.co.uk","NEWS,WORLD NEWS",
"JESSICA DUNCAN FOR MAILONLINE","November 6, 2016 Sunday 12:01 AM GMT",,"'The people made their choice': Theresa May confirms she is NOT for turning as she tells MPs to accept Brexit vote result","907 words","MailOnline","NEWS",
"Tim Montgomerie","November 10, 2016 Thursday",,"Brexit and Trumpism are very different beasts; For all the apparent similarities, America has embarked on a more insular, mean-spirited course than Britain","906 words","The Times (London)","NEWS; Pg. 19",
"JAMES SLACK AND JACK DOYLE FOR THE DAILY MAIL","November 3, 2016 Thursday 11:20 PM GMT",,"There WILL be an early election if judges and remain campaigners do not back down in their bid to delay Brexit, warn Tory MPs","905 words","MailOnline","NEWS",
"Fran Lawther","November 7, 2016 Monday 1:27 PM GMT",,"After the Brexit vote, my pride in taking British citizenship is fading; I'm German, and I think Britain is one of the best countries to live on Earth but I'm starting to wonder if it is as liberal and forward-thinking as it once seemed","902 words","The Guardian","OPINION",
"Christopher Hope; Peter Dominiczak; Kate McCann","November 5, 2016 Saturday",,"Ministers prepare for snap election; Cabinet discusses spring vote after Tory MP quits to leave May facing battle for Brexit ; May will win by landslide if election repeats Brexit vote","898 words","The Daily Telegraph (London)","NEWS; Pg. 1,5",
"Rob Merrick","November 3, 2016 Thursday 10:33 PM GMT",,"Theresa May faces guerrilla war after High Court hands Parliament a say over Brexit; The Prime Minister has accepted an Act of Parliament will be needed to trigger Article 50, unless defeat can be overturned in the Supreme Court - with the danger of challenge or delay","897 words","The Independent (United Kingdom)","UK POLITICS",
"BY DANIEL MARTIN AND GERRI PEEV","November 12, 2016 Saturday",,"NOW REMAIN MPS BOAST ABOUT THEIR PLOT TO HALT BREXIT","896 words","DAILY MAIL (London)",,
,"November 10, 2016",,"The two shock results are similar; The Opinion Matrix COMMENT FROM HOME & ABROAD The Opinion Matrix COMMENT FROM HOME & ABROAD US ELECTION AND BREXIT","89 words","i-Independent Print Ltd","NEWS; Pg. 24",
"David Frost","November 4, 2016 Friday",,"Big-hearted Scotland must shout louder; It has always welcomed outsiders but post-Brexit the challenge will be how to keep people and business coming","889 words","The Times (London)","EDITORIAL; Pg. 29",
"RICHARD SPILLETT FOR MAILONLINE","November 3, 2016 Thursday 11:19 AM GMT",,"The judges who blocked Brexit include one who founded a EUROPEAN law group and a second who charged the taxpayer millions for advice","888 words","MailOnline","NEWS",
"Tim Shipman","November 6, 2016 Sunday",,"DON'T TIE MY HANDS, MAY TELLS HER MPs; British prime minister demands freedom to make Brexit deal - and warns 'remain' campaigners that they have to accept what the people decided","887 words","The Sunday Times (London)","NEWS; Pg. 16",
"Vickiie Oliphant","November 5, 2016 Saturday 3:28 PM GMT",,"NEW BRITAIN-RUSSIA trade deal? EU Brexit punishment will 'force London and Moscow closer'","885 words","Express Online",,
"Siobhan Fenton","November 9, 2016 Wednesday 1:20 PM GMT",,"US election results: How the polls got it so wrong; Just as with Brexit, the British 2015 general election and the Scottish referendum, the pollsset voters and pundits up for a fall","883 words","The Independent (United Kingdom)","US ELECTIONS",
"Reiner Grundmann","November 12, 2016 Saturday 12:00 PM GMT",,"Who are 'experts', anyway?; In the latest post in a series on experts, Reiner Grundmann argues that even in the world of Brexit and President Trump expertise is alive and well. However, we must pay close attention to how it is used in politics.","882 words","The Guardian","SCIENCE",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 3, 2016 Thursday 2:20 PM GMT",,"'Stop betraying Brexit!' Fury as judges rule that MPs SHOULD be able block our departure from the EU sparking threats that Theresa May might call a general election","882 words","MailOnline","NEWS",
"Simon Nixon","November 3, 2016 Thursday",,"If Brexit remains a mystery, what might a Trump victory mean?","881 words","The Times (London)","BUSINESS; Pg. 41",
"Henry McDonald in Dublin and Jessica Elgot","November 2, 2016 Wednesday 11:43 AM GMT",,"Irish PM warns Brexit talks between UK and EU could turn vicious; Enda Kenny urges his fellow EU leaders not to become 'obsessed' over what Britain may or may not get in Brexit negotiations","881 words","The Guardian","WORLD NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE and MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 8, 2016 Tuesday 9:46 AM GMT",,"We won't be sari about Brexit! Theresa May hails 'world of opportunities' outside the EU as she dons traditional Hindu garb during trade trip to India","878 words","MailOnline","NEWS",
"Melanie Phillips","November 8, 2016 Tuesday",,"Why the judges have got it wrong on Brexit; Legal experts have challenged the High Court's judgment more effectively than Theresa May","876 words","The Times (London)","EDITORIAL; Pg. 30",
"Letters","November 7, 2016 Monday 3:16 PM GMT",,"Jeremy Corbyn's Brexit plan is sensible - we need a People's Brexit; Send your letters in to letters@independent.co.uk","873 words","The Independent (United Kingdom)","LETTERS",
"Andrew Grice","November 3, 2016 Thursday 12:30 PM GMT",,"Don't be fooled by the High Court ruling, Brexit will still happen for two reasons - Theresa and May; The real threat to the Government is that parliamentattachesconditions to its approval of Article 50 inorder to influence the shape of the Brexit deal","872 words","The Independent (United Kingdom)","VOICES",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 3, 2016 Thursday 10:57 AM GMT",,"What happens next for Brexit? The Government is appealing but it might have to go into Parliamentary trenches and fight for the right to quit the EU","871 words","MailOnline","NEWS",
"Vickiie Oliphant","November 8, 2016 Tuesday 3:31 PM GMT",,"Government gets go ahead to APPEAL High Courts controversial Article 50 Brexit ruling","87 words","Express Online",,
"William Keegan","November 13, 2016 Sunday 7:00 AM GMT",,"Trump's election reinforces the need for Britain to turn against Brexit; The consequences of US isolationism, or an alliance with Putin, are so ominous that leaving the EU is the last thing the UK needs","867 words","The Observer (London)","BUSINESS",
"Martin Townsend","November 13, 2016 Sunday 9:55 AM GMT",,"A word from the editor: Brexit has been mirrored by America's choice of a maverick","866 words","Express Online",,
"Phillip Inman and Angela Monaghan","November 2, 2016 Wednesday 12:01 AM GMT",,"Brexit vote will lead to cut in disposable incomes in 2017, says thinktank; Huge aftershock will push down GDP and could still lead to a recession, predicts NIESR","865 words","The Guardian","BUSINESS",
"James Moore","November 8, 2016 Tuesday 9:20 AM GMT",,"RBS: Yet more taxpayers' cash goes to pay for bankers misdeeds; Brexit is a disaster, but given what has gone on at RBS, is it any wonder some peopletook the opportunity presented by the EU referendum to kick at what they see as the ""one rule for us and one rule for them"" presided over bythe establisment?","864 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"Sarah Butler","November 7, 2016 Monday 6:01 AM GMT",,"Price of 20 Unilever products up by average of 5.7% since Brexit vote; Increases of up to 63% on products across big four supermarkets, says research by the Guardian and MySupermarket.com","864 words","The Guardian","BUSINESS",
"JOHN RENTOUL","November 13, 2016 Sunday",,"Forget the Brexit court case - what matters is negotiating our future with EU leaders","863 words","The Independent - Daily Edition","COMMENT; Pg. 32",
"Daniel Boffey and Vidhi Doshi in Mumbai","November 6, 2016 Sunday 12:05 AM GMT",,"India warns UK immigration policy could wreck trade deal; Minister deals blow to PM's hopes of post-Brexit talks on eve of visit","863 words","The Observer (London)","POLITICS",
"By Ed Miliband","November 3, 2016 Thursday 7:06 AM GMT",,"Why we need to know a lot more about Theresa May's plan for Brexit - if she has one","860 words","telegraph.co.uk","NEWS",
,"November 6, 2016 Sunday",,"Jez's Brexit ultimatum","86 words","The Sun (England)","NEWS; Pg. 10",
"Vickiie Oliphant","November 8, 2016 Tuesday 3:31 PM GMT",,"Government gets go ahead to APPEAL High Court's controversial Article 50 Brexit ruling","857 words","Express Online",,
"Matthew Weaver","November 4, 2016 Friday 8:57 AM GMT",,"Brexit timetable still on track despite article 50 ruling, Theresa May to tell EU; PM to tell European commission chief Jean-Claude Juncker she still plans to trigger article 50 by end of March","853 words","The Guardian","POLITICS",
"James Moore","November 7, 2016 Monday 11:53 AM GMT",,"Watch out Clinton could still lose! But here's why she probably won't; Betting patterns on the US Presidential election aresimilar to those seen ahead of Brexit. You shouldn'tread too much into that based on an analysis of the numbers and America's demographics","852 words","The Independent (United Kingdom)","US ELECTIONS",
"Anne Perkins","November 3, 2016 Thursday 11:15 AM GMT",,"High court Brexit ruling: what does it all mean?; The high court has decided the government does not have the power to trigger article 50 without consulting parliament, so what happens now?","852 words","The Guardian","POLITICS",
"Joris Luyendijk","November 3, 2016 Thursday 9:00 AM GMT",,"In Brexit Britain, being a foreigner marks me out as evil; Since the referendum, the tabloids have whipped up racist feeling by creating subtle links between non-natives and crime - and the government has done little to counter it","852 words","The Guardian","OPINION",
"ADAM LUSHER","November 4, 2016 Friday",,"Brexit heartlands talk of riots, revolution and 'Ukip on steroids' after judgment","850 words","The Independent - Daily Edition","NEWS; Pg. 13",
"Lucy Pasha-Robinson","November 3, 2016 Thursday 11:37 AM GMT",,"Brexit legal challenge: Government takes Article 50 ruling to Supreme Court after humiliating High Court defeat; The case is expected to be heard on December 7 by Britain's 12 Justices of the Supreme Court","848 words","The Independent (United Kingdom)","UK POLITICS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 2, 2016 Wednesday 6:48 PM GMT",,"D-Day for Brexit: Britain's exit from the EU could be DELAYED as landmark court case rules whether Theresa May can start EU talks without MPs vote","848 words","MailOnline","NEWS",
"PATRICIA HEWITT","November 7, 2016 Monday",,"Britain and India eager for a warm post-Brexit embrace","843 words","The Daily Telegraph (London)","BUSINESS;NEWS; Pg. 6",
"CHRIS MUSSON ;ANDREW NICOLL","November 4, 2016 Friday",,"COLLISION COURSE; LEADERS CLASH IN WAKE OF BREXIT COURT VERDICT ; lNic all set to join in bitter legal war lMay's fight over ruling on MP vote","841 words","The Sun (England)","NEWS; Pg. 8,9",
"By Alan Cochrane","November 9, 2016 Wednesday 6:27 AM GMT",,"Brexit is fuelling a growing rift in the SNP. Sturgeon can't get her second independence referendum","833 words","telegraph.co.uk","NEWS",
"Katie Allen and Jill Treanor","November 11, 2016 Friday 7:10 PM GMT",,"Pound posts best fortnight in eight years after Trump win; Market concerns shift to euro after concerns over Brexit vote, but sterling remains well below pre-referendum levels","832 words","The Guardian","BUSINESS",
"HARSH V PANT","November 10, 2016 Thursday 7:38 PM GMT",,"May and Modi on the move as the UK struggles to re-define its global role post-Brexit","830 words","MailOnline","INDIANEWS",
,"November 8, 2016 Tuesday",,"Brexit-blocking MPs will be voted out at next election; Letters","83 words","The Express","LETTERS; Pg. 40",
"Rachael Pells","November 3, 2016 Thursday 4:16 PM GMT",,"Brexit will make UK universities more expensive, says Vince Cable; The former Business Secretary says the further education sector is overlooked and undervalued,and is to lead a review of UK further education policy this year","825 words","The Independent (United Kingdom)","NEWS",
"By James Bartholomew","November 5, 2016 Saturday 6:57 AM GMT",,"James Bartholomew: 'Thank Brexit for these bargain shares'","824 words","telegraph.co.uk","INVESTING",
"By Telegraph View","November 9, 2016 Wednesday 5:15 PM GMT",,"If Donald Trump really wants to be Mr Brexit, he must open America to the world, not pull up the drawbridge","823 words","telegraph.co.uk","OPINION",
"ANDREW PIERCE FOR THE DAILY MAIL","November 7, 2016 Monday 1:38 AM GMT",,"And now here's the next lot lining up to have a go: judges who will rule on Brexit impact","823 words","MailOnline","NEWS",
"Nigel Farage","November 11, 2016 Friday",,"Unlike Clinton and Obama, Trump doesn't sneer at Brexit Britain; Transatlantic partnership","822 words","The Daily Telegraph (London)","NEWS; Pg. 4,5",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE and TIM SCULTHORPE, DEPUTY POLITICAL EDITOR FOR MAILONLINE","November 9, 2016 Wednesday 7:53 AM GMT",,"Are we at the FRONT of the queue for a trade deal now? Donald Trump's stunning victory is hailed as a boost for post-Brexit Britain","821 words","MailOnline","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE and MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 7, 2016 Monday 11:00 AM GMT",,"David Davis slams plot to 'thwart' Brexit as he admits ministers WILL need to pass an Act of Parliament to trigger Article 50 unless legal ruling is overturned","821 words","MailOnline","NEWS",
"Owen Bowcott Legal affairs correspondent","November 3, 2016 Thursday 4:23 AM GMT",,"High court to declare if government has right to trigger Brexit; Verdict on Thursday will determine whether or not the UK's decision to leave European Union must be subject to a vote by parliament","821 words","The Guardian","POLITICS",
"BY ALEX BRUMMER","November 9, 2016 Wednesday",,"ABF BEATS THE BREXIT DRUM","819 words","DAILY MAIL (London)",,
