"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"By Michael Wilkinson, Political Correspondent","October 24, 2016 Monday 6:39 AM GMT",,"Theresa May offers Brexit olive branch to Nicola Sturgeon but SNP leader insists she wants Remain vote to be respected in Scotland","933 words","telegraph.co.uk","NEWS",
,"November 1, 2016",,"The good news keeps on coming; The Opinion Matrix COMMENT FROM HOME & ABROAD BREXIT PRICES","93 words","i-Independent Print Ltd","FEATURES; Pg. 14",
"EMMA GLANFIELD FOR MAILONLINE","October 25, 2016 Tuesday 1:37 PM GMT",,"Tesco boss warns price of your shopping WILL rise 3% thanks to fall in the pound and loss of migrant workers after Brexit vote","927 words","MailOnline","NEWS",
"ALEXANDRA SIMS AND ASHLEY COWBURN","November 1, 2016 Tuesday",,"Nissan Brexit deal could lead to 'colossal bill for the taxpayer', Clegg warns","925 words","The Independent - Daily Edition","NEWS; Pg. 7",
"By Tony Blair","October 29, 2016 Saturday 12:00 PM GMT",,"Tony Blair: If Brexit is a disaster we mush have right to change our mind; Writing in The New European, the former Prime Minister set out his treatise on combating Brexit","924 words","mirror.co.uk","NEWS,UK NEWS",
"Graham Ruddick","October 26, 2016 Wednesday 7:12 PM GMT",,"Goldman Sachs: in the headlines despite its renowned discretion; The leak of Theresa May's Brexit warning to Goldman staff won't go down well at an investment bank where secrecy is vital","921 words","The Guardian","BUSINESS",
"By Tara Cunningham, Business Reporter","October 27, 2016 Thursday 8:00 AM GMT",,"Pound hits one-week high after data shows UK economy grew by 0.5pc after Brexit vote","9206 words","telegraph.co.uk","BUSINESS",
,"October 26, 2016",,"Worrying uncertainty in talks; The Opinion Matrix COMMENT FROM HOME & ABROAD UK BREXIT TALKS","92 words","i-Independent Print Ltd","NEWS; Pg. 14",
"Reiss Smith","October 20, 2016 Thursday 4:13 PM GMT",,"Theresa May's first 100 days as Prime Minister: A timeline from Brexit vote to today","918 words","Express Online",,
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 21, 2016 Friday 1:07 PM GMT",,"Mais non! PM slaps down EU's Brexit chief after he signals he wants UK officials to speak FRENCH during negotiations","915 words","MailOnline","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 27, 2016 Thursday 9:26 AM GMT",,"So much for Project Fear! The UK economy GREW by 0.5% in the three months after historic Brexit vote despite Osborne's dire warnings","908 words","MailOnline","NEWS",
"David Hughes and Lucinda Cameron","October 23, 2016 Sunday 12:00 AM GMT",,"SNP calls for Theresa May to treat Scotland as 'equal partner' in Brexit negotiations","907 words","Express Online",,
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 21, 2016 Friday 10:33 AM GMT",,"PM faces more tough Brexit talks as EU leaders say doors MUST stay open to migrants if we want the single market and our former man in Brussels warns they are driven by 'emotion'","907 words","MailOnline","NEWS",
"Sean O'Grady","October 21, 2016 Friday 11:29 AM GMT",,"What would a Hillary Clinton victory mean for post-Brexit Britain?; Clinton has made no secret of her views on Brexit - she doesn't much like it, and she is likely to follow the line set by Obama that Britain will be ""at the back of the queue"" for a trade deal","905 words","The Independent (United Kingdom)","VOICES",
"Andrew Tickell","October 31, 2016 Monday",,"The academic talent are packing their bags; Brexit Britain's politics are alienating foreign scholars and will leave us 'intellectually and culturally impoverished'","903 words","The Times (London)","EDITORIAL; Pg. 25",
,"October 31, 2016 Monday",,"Hiring flat as recruiters digest Brexit vote's effect; BUSINESS BULLETIN","90 words","The Daily Telegraph (London)","BUSINESS; Pg. 4",
,"October 29, 2016",,"Myths corrode public trust; The Opinion Matrix COMMENT FROM HOME & ABROAD BREXIT PREDICTIONS","90 words","i-Independent Print Ltd","NEWS; Pg. 16",
,"October 24, 2016",,"May must unite the government; The Opinion Matrix COMMENT FROM HOME & ABROAD POST-BREXIT BRITAIN","90 words","i-Independent Print Ltd","NEWS; Pg. 12",
,"October 30, 2016 Sunday",,"HARD OR SOFT BREXIT?","9 words","The Sunday Times (London)","BUSINESS;BUSINESS; FRONT PAGE; TEASERS; Pg. 1",
"John Rentoul","October 22, 2016 Saturday 3:25 PM GMT",,"The EU has taken Brexit badly, but Theresa May will win in the end; The Prime Minister had a rough reception in Brussels, and it is going to get harder for her, but tough Brexit talks are not going to weaken her popularity at home","895 words","The Independent (United Kingdom)","VOICES",
"Sam Coates","October 21, 2016 Friday",,"Call early election before Brexit troubles mount, Tories tell May","893 words","The Times (London)","NEWS; Pg. 6,7",
"Matthew Norman","November 1, 2016 Tuesday 3:51 PM GMT",,"Mark Carney is the immigrant worker everyone wants to send home after Brexit - and good riddance to that negative Remoaner; This uncouth invader from the frozen north had the gall to bang on, as if it was any of his beeswax, about the economic implications of Brexit. But isn't that the old, old problem with people who come over here and nick our jobs? They don't understand our ways","892 words","The Independent (United Kingdom)","VOICES",
"DANIEL JOHNSON","October 23, 2016 Sunday",,"Germans gloat over Brexit pains to distract from trouble at home","889 words","The Sunday Times (London)","EDITORIAL; OPINION COLUMNS; Pg. 23",
"CHARLES CRAWFORD","October 30, 2016",,"This once great nation can be influential again; Over decades we destroyed our Foreign Office and its global work. Brexit means restoring it to former glory","887 words","The Sunday Telegraph (London)","LETTERS; Pg. 21",
"By Telegraph View","October 28, 2016 Friday 6:50 PM GMT",,"Tony Blair is a distrusted man who made Brexit possible","886 words","telegraph.co.uk","OPINION",
,"October 23, 2016 Sunday 10:01 PM GMT",,"'We just need to get OUT!' Suzanne Evans promises Brexit push if she wins Ukip leadership","881 words","Express Online",,
"Duncan Weldon","November 1, 2016 Tuesday 8:00 AM GMT",,"Dreaming of a 'single market-lite' for Britain? Time to wake up; For many, the ultimate result from Brexit would be free movement of goods and services, with restrictions on labour. That won't be on the table","880 words","The Guardian","OPINION",
"By Tom Harris","October 28, 2016 Friday 12:53 PM GMT",,"Tony Blair is my hero, but even he has no right to overturn our democratic vote for Brexit","880 words","telegraph.co.uk","NEWS",
,"October 20, 2016",,"What will become of the border?; The Opinion Matrix COMMENT FROM HOME & ABROAD IRELAND'S BREXIT","88 words","i-Independent Print Ltd","FEATURES; Pg. 14",
"William Keegan","October 30, 2016 Sunday 6:00 AM GMT",,"Brexit is a case our conflicted PM shouldn't have taken on; Theresa May should be true to her pre-referendum views - and put our departure from the EU to a parliamentary vote","877 words","The Observer (London)","WORLD NEWS",
"Graham Ruddick","October 26, 2016 Wednesday 7:31 PM GMT",,"Businesses are rightly frustrated with Theresa May's Brexit handling; PM revealed her true thoughts on leaving the EU in a private speech - GM and Morgan Stanley have shown they agree","877 words","The Guardian","POLITICS",
"Marc Horne","October 27, 2016 Thursday",,"EU diplomats praise Scotland as 'haven' in wake of Brexit","876 words","The Times (London)","NEWS; Pg. 5",
"Emma Sheppard","October 31, 2016 Monday 7:00 AM GMT",,"Shadow business minister: 'we have to stay in the single market'; Bill Esterson discusses Brexit fallout, the proposed small business commissioner role and his attempts to build regional support for entrepreneurs","875 words","The Guardian","GUARDIAN SMALL BUSINESS NETWORK",
"ALEX BRUMMER FOR THE DAILY MAIL","October 27, 2016 Thursday 6:22 PM GMT",,"ALEX BRUMMER: Brexit tonic for Barclay's as boss Jes Staley's instincts on investment banking prove correct","872 words","MailOnline","COMMENT",
"SHAUN CONNOLLY, Neil Lancefield","October 27, 2016 Thursday 9:35 PM GMT",,"Downing Street denies offering Nissan 'sweetheart deal' to overcome Brexit fears and expand Sunderland production; Ministers under pressure to reveal 'support and assurances'Government offered car manfacturer","871 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Dan Roberts in Washington and Sabrina Siddiqui in Philadelphia","October 24, 2016 Monday 12:18 PM GMT",,"Trump camp admits uphill election battle as Clinton looks down-ballot; Trump campaign hopes swing-state tour offsets Clinton ad spending 'Brexit x5': can Republicans buck poll numbers for a surprise win?","870 words","The Guardian","US NEWS",
"JOHN RENTOUL","October 23, 2016 Sunday",,"EU has taken Brexit badly, but May will win in the end","870 words","The Independent - Daily Edition","COMMENT; Pg. 29",
"ALEX HAWKES FOR THE MAIL ON SUNDAY","October 29, 2016 Saturday 8:12 PM GMT",,"As the Bank of England rethinks post-Brexit GDP prospects, is Mark Carney on the brink of a shock exit?","868 words","MailOnline","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 27, 2016 Thursday 10:58 AM GMT",,"'A vote of confidence in post-Brexit Britain': Jubilant Theresa May hails Nissan decision to build new Qashqai and X-Trail models in Sunderland","867 words","MailOnline","NEWS",
"Joe Barnes","October 20, 2016 Thursday 12:01 AM GMT",,"Two years is NOT ENOUGH to negotiate Brexit trade deal, blasts Remoaner Hilary Benn","865 words","Express Online",,
"Nick Gutteridge","October 25, 2016 Tuesday 10:25 PM GMT",,"BREAKING NEWS: Leaked audio shows what Theresa May said about Brexit behind closed doors","864 words","Express Online",,
"BY ALEX BRUMMER","October 28, 2016 Friday",,"BREXIT TONIC FOR BANKERS","863 words","DAILY MAIL (London)",,
"Phillip Inman Economics correspondent","October 27, 2016 Thursday 7:55 PM GMT",,"UK economy shrugs off Brexit uncertainty with 0.5% growth; Best-performing major economy defies forecasts as services boom but business groups call for help to agriculture, construction and manufacturing","862 words","The Guardian","BUSINESS",
"By Asa Bennett","October 27, 2016 Thursday 11:06 AM GMT",,"A Stop Brexit party would never work. But politicians will still try to pander to those in 'Brenial'","862 words","telegraph.co.uk","NEWS",
"Rowena Mason Deputy political editor","October 30, 2016 Sunday 12:09 PM GMT",,"UK seeking tariff-free EU deal for carmakers, Nissan told; Business secretary Greg Clark sought to allay Brexit concerns and convince company to build next two models in Sunderland","859 words","The Guardian","BUSINESS",
"Rehema Figueiredo","October 26, 2016 Wednesday 7:58 AM GMT",,"'Brexit will make business LEAVE Britain': Angry backlash at Theresa May over leaked tapes","859 words","Express Online",,
"Will Worley","October 22, 2016 Saturday 3:48 PM GMT",,"Battle to save Canada trade deal with EU amid concerns over implications for Brexit; Negotiationscollapsed after the Belgian state of Wallonia refused to support the free trade pact - with the troubled deal highlighting how difficult Brexit talks could be","859 words","The Independent (United Kingdom)","EUROPE",
"Eamonn Forde","November 1, 2016 Tuesday 12:29 PM GMT",,"Why Brexit is not music to the ears of British bands touring Europe; In the wake of the EU referendum, British live music faces an uncertain future as visa and carnet costs could make playing shows across Europe unsustainable","854 words","The Guardian","MUSIC",
"Simon Nixon","October 20, 2016 Thursday",,"Simon Nixon; European Union believes it already has the upper hand in Brexit talks","854 words","The Times (London)","BUSINESS; Pg. 35",
"Tom Martin","October 31, 2016 Monday 12:10 AM GMT",,"Scottish Independence 'bigger threat to banking than Brexit'","853 words","Express Online",,
"THIS IS MONEY MARKET REPORTERS","October 27, 2016 Thursday 8:28 AM GMT",,"FTSE LIVE: Footsie weak ahead of first post-Brexit GDP data, although banks rally after Barclays beats forecasts","853 words","MailOnline","MARKETS",
,"October 26, 2016 Wednesday",,"Experts warn of £84bn Brexit blow","85 words","Daily Mirror","NEWS; Pg. 2",
"JACK BLANCHARD; DAVID CRAIK; MARK ELLIS","October 28, 2016 Friday",,"HERE WE GROW; BREXIT FEAR BRITAIN GETS BOOST UK economy expands 0.5% & shoppers hit the high street Nissan jobs pledge but food prices to rise","848 words","Daily Mirror","NEWS; Pg. 16,17",
"MATTHEW NORMAN","October 24, 2016 Monday",,"If the bankers leave London, it'll be lower-income Brexit voters who suffer most","847 words","The Independent - Daily Edition","COMMENT; Pg. 29",
"Macer Hall","October 31, 2016 Monday",,"EU EXIT TO SPARK UK TRADE BONANZA GET US OUT OF THE EU; But only if we ditch Brussels fast Countries 'queueing up' to trade with Brexit UK","846 words","The Express","NEWS; Pg. 1,4,5",
"Joe Watts","October 29, 2016 Saturday 11:03 PM GMT",,"Brexit: Theresa May urged to act fast as new poll finds huge support for protecting EU migrants' rights; Exclusive polling for The Independent reveals that 66 per cent want the Prime Minister to ensure Europeans living and working in the UK can stay on after Brexit","846 words","The Independent (United Kingdom)","UK POLITICS",
"Tom Martin","October 24, 2016 Monday 7:01 PM GMT",,"Theresa May and Nicola Sturgeon clash: PM warns First Minister against undermining Brexit","844 words","Express Online",,
"Nish Kumar","October 25, 2016 Tuesday 7:09 PM GMT",,"We are living in The West Wing written by Adam Sandler - no wonder we're looking to snack companies for sanity; First came the spokespeople of Skittles, then Tic Tacs and the king of crisps Gary Lineker. Who next? Talking M&M's on Brexit?","843 words","The Guardian","OPINION",
"ADAM LUSHER","October 24, 2016 Monday",,"Farage's referendum night concession 'made Brexit backers millions'","840 words","The Independent - Daily Edition","NEWS; Pg. 14",
"Greg Heffer, Political Reporter","October 25, 2016 Tuesday 6:00 PM GMT",,"UK expats must wait until END of Brexit talks to discover fate, French ambassador warns","838 words","Express Online",,
"Siobhan Fenton","October 25, 2016 Tuesday 12:49 PM GMT",,"Northern Ireland will suffer because of Brexit - but the mainland couldn't care less; The appearance of the EU as faceless bureaucracy may have angered many English voters, but was a notable benefit when it came to posing as a neutral force in Northern Ireland's complex community relations","837 words","The Independent (United Kingdom)","VOICES",
"James Moore","October 31, 2016 Monday 12:26 PM GMT",,"WPP boss Sir Martin Sorrell must be heeded on Brexit and Mark Carney; Sir Martin has pointed to a softening advertising market as an early sign of ""Brexit anxiety"". It could get worse if the Government ignores him and allows the Governor of the Bank of Englandto walk away","836 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"David Runciman","October 31, 2016 Monday 9:00 AM GMT",,"Politics has gone wrong. Is digital technology to blame?; In the age of Brexit and Trump we shout at each other across a gulf of understanding, not thinking that machines rather than people could be at fault","834 words","The Guardian","OPINION",
"Macer Hall","October 27, 2016 Thursday 12:01 AM GMT",,"EU poll shows two-thirds of voters oppose migrants having preferential access after Brexit","830 words","Express Online",,
"Andrew Grice","October 22, 2016 Saturday 1:48 PM GMT",,"May has found out how much of a nightmare her Brexit talks are going to be; Some EU officials are already talking about a 'dirty Brexit', with no deal being reached during the two years of formal talks starting early next year","829 words","The Independent (United Kingdom)","VOICES",
"Ashley Cowburn","October 24, 2016 Monday 9:14 AM GMT",,"Brexit: Philip Hammond must honour £350m NHS pledge, MPs demand; The 41 MPs claim that 'anything else will be a betrayal of the wishes of the British people'","828 words","The Independent (United Kingdom)","UK POLITICS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 28, 2016 Friday 10:22 AM GMT",,"Ministers sent a last-ditch letter promising to protect Nissan from Brexit costs but face calls to reveal details of 'secret deal' that kept car maker in the UK","827 words","MailOnline","NEWS",
"SIOBHAN FENTON","October 26, 2016 Wednesday",,"Northern Ireland will suffer because of Brexit, but the mainland couldn't care less","827 words","The Independent - Daily Edition","COMMENT; Pg. 31",
"By Peter Dominiczak, Political Editor and Peter Foster , Europe Editor","October 21, 2016 Friday 6:16 AM GMT",,"EU leaders gang up on Theresa May over Brexitas she prepares for talks with Jean-Claude Juncker","821 words","telegraph.co.uk","NEWS",
"Peter Scott","November 1, 2016 Tuesday 5:45 AM GMT",,"The UK is becoming the nasty country, and our universities will suffer; Why would talented academics want a career in Brexit-voting Britain, where a handful of refugee children provoke a tabloid firestorm?","820 words","The Guardian","EDUCATION",
"By Sir David Greenaway","October 21, 2016 Friday 11:01 PM GMT",,"Brexit might be the catalyst we've been waiting for","820 words","telegraph.co.uk","EDUCATION",
"Kalyeena Makortoff","October 28, 2016",,"EasyJet boss confident of post-Brexit deal; AIR TRAVEL","82 words","i-Independent Print Ltd","NEWS; Pg. 4",
"Chitra Ramaswamy","October 24, 2016 Monday 3:47 PM GMT",,"The great Brexit text mess: how Boris, Gove and co waged war by phone; Many of the extraordinary political machinations that followed the Brexit vote were reportedly organised - or scuppered - by text. Here are some of the key missives","813 words","The Guardian","POLITICS",
,"October 30, 2016 Sunday",,"Buoyant Belfast office lettings shrug off the post-Brexit blues","810 words","The Sunday Times (London)","BUSINESS; Pg. 12",
"Alix Culbertson","November 1, 2016 Tuesday 12:00 AM GMT",,"BREXIT BOOM: British luxury watch industry sees sales rocket by 70 per cent","807 words","Express Online",,
"Joe Watts and Rob Merrick","October 22, 2016 Saturday 12:54 AM GMT",,"Theresa May faces Brexit battles on two fronts after being sidelined at EU summit; Asked what he made of British Prime Minister's performance at her first EU summit,Commission President Jean Claude Juncker says 'pfff'","805 words","The Independent (United Kingdom)","UK POLITICS",
"Julia Kollewe and Jessica Elgot","October 27, 2016 Thursday 2:01 PM GMT",,"Nissan to make new car models in UK as economy defies Brexit fears; Carmaker announces major investment in Sunderland factory after confirming government support","804 words","The Guardian","BUSINESS",
,"October 25, 2016 Tuesday",,"Vote warning in Brexit talks","80 words","Daily Mirror","NEWS; Pg. 9",
"Greg Heffer, Political Reporter","October 20, 2016 Thursday 11:23 AM GMT",,"EU warned: DO NOT commit 'ECONOMIC SUICIDE' during Brexit talks by refusing free trade","794 words","Express Online",,
"Oliver Wright; Sam Coates","October 28, 2016 Friday",,"Last-ditch No 10 pledge kept Nissan in Britain; Carmaker will be shielded from Brexit costs Nissan","792 words","The Times (London)","NEWS; Pg. 1,2",
"By Fabrice Pothier","October 28, 2016 Friday 2:24 PM GMT",,"Britain can still shape the global political order after Brexit - and here's how","791 words","telegraph.co.uk","NEWS",
"Arj Singh","October 29, 2016",,"Blair: Japanese must have had Brexit 'assurances'; REACTION","79 words","i-Independent Print Ltd","NEWS; Pg. 6",
"MARK SHAPLAND FOR THIS IS MONEY","October 24, 2016 Monday 2:54 PM GMT",,"Brexit bloodbath for floats on London stock market as new listings slump to four-year low","789 words","MailOnline","MARKETS",
"Lucy Pasha-Robinson","October 20, 2016 Thursday 4:07 PM GMT",,"Brexit vote sees surge in number of UK citizens seeking EU citizenship; 'I've carved out an existence here which I like and am keen to protect, and the only way I can really be sure that I maintain it is to obtain citizenship'","789 words","The Independent (United Kingdom)","UK POLITICS",
"Hamish McRae","October 22, 2016 Saturday 1:04 PM GMT",,"George Osborne left quite a mess for Philip Hammond - but can he clean up in time for the Autumn Statement?; So far the impact on the economyhas been much less than forecast, so on the face of it that should tip things towards the better end of the scale. The trouble is that quite irrespective of Brexit public finances, revenue felt a bit soft","786 words","The Independent (United Kingdom)","VOICES",
"Joe Barnes","October 21, 2016 Friday 8:32 AM GMT",,"Brussels will hold UK to RANSOM over Brexit if they don't support EU army, says German MEP","785 words","Express Online",,
"Siobhan McFadyen","October 20, 2016 Thursday 11:23 AM GMT",,"Remainer Hammond reined-in as May hosts crunch Brexit talks with Tusk tonight","785 words","Express Online",,
"Siobhan McFadyen","October 30, 2016 Sunday 1:39 PM GMT",,"Brexit boost as UK financial services sector to 'save £12bn-a-year slashing EU red tape'","784 words","Express Online",,
"Bruno Rinvolucri","October 28, 2016 Friday 11:19 AM GMT",,"In this divided Britain, young people have to unite and speak up; The Undivided campaign aims to get the best possible Brexit deal for under-30s - it's a welcome backlash against the self-interest carve-up of the country","782 words","The Guardian","OPINION",
"Patrick Wintour Diplomatic correspondent","October 25, 2016 Tuesday 7:25 PM GMT",,"Brexit could ruin Ireland's food industry, Bruton and Ahern tell Lords; Former prime ministers John Bruton and Bertie Ahern issue warning about possible common external tariffs between Ireland and the UK","781 words","The Guardian","WORLD NEWS",
"Steven Swinford ;Peter Dominiczak","October 26, 2016 Wednesday",,"New runway will help UK soar after Brexit, says PM; Lift-off at Heathrow ; Heathrow expansion will give £61bn boost, says Mrs May, but project now faces legal tests and protests","778 words","The Daily Telegraph (London)","NEWS; Pg. 4,5",
"By Peter Foster , Europe Editor","November 1, 2016 Tuesday 8:00 PM GMT",,"'Hard Brexit' would be unworkable for Ireland, country's foreign minister warns Theresa May","777 words","telegraph.co.uk","NEWS",
"Georgie Keate; Mike Wade","October 25, 2016 Tuesday",,"Sturgeon accused of subverting Brexit talks; Frustrated first minister 'no clearer' on UK plan","777 words","The Times (London)","NEWS; Pg. 1,17",
"GLEN OWEN POLITICAL CORRESPONDENT FOR THE MAIL ON SUNDAY","October 30, 2016 Sunday 12:51 AM GMT",,"Zac Goldsmith? I bet he'll never worry what a jar of marmite costs post-Brexit: MP's by-election opponent launches a stinging attack on her rival's wealth","776 words","MailOnline","NEWS",
"David Maddox","October 31, 2016 Monday 5:16 PM GMT",,"BREXIT BOOM for our fishing industry as freedom from EU will allow for BIGGER hauls","774 words","Express Online",,
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 24, 2016 Monday 11:50 AM GMT",,"They're watching EU! Brexit Secretary David Davis has been warned other states are SPYING on him to find out UK's negotiating strategy","770 words","MailOnline","NEWS",
"Peter Walker Political correspondent","October 20, 2016 Thursday 8:56 AM GMT",,"David Davis: revealing Brexit plans is against national interest; EU exit secretary faces tough questions from MPs as Hilary Benn says he will not try to obstruct the withdrawal process","768 words","The Guardian","POLITICS",
,"October 21, 2016 Friday 12:01 AM GMT",,"Europe believes UK might think again about Brexit, warns ex-commissioner","767 words","Express Online",,
"BY DANIEL MARTIN AND HOLLY BLACK","October 24, 2016 Monday",,"IT'S NONSENSE! BANKS DISMISS CLAIM THEY'LL QUIT UK AFTER BREXIT","765 words","DAILY MAIL (London)",,
