"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Greg Jericho","November 20, 2016 Sunday 1:17 AM GMT",,"In fighting to protect jobs and workers, let's not get caught up in xenophobia; Politicans should be wary of giving succour to racists looking to follow the Brexit/Trump narrative of blaming working-class woes on migrants","1041 words","The Guardian","BUSINESS",
"Polly Toynbee","November 17, 2016 Thursday 11:48 AM GMT",,"Equality looks further away than ever in a Brexit, Donald Trump world; The government's Social Mobility Commission report shows progress is in reverse - and Theresa May's government has no answers","1042 words","The Guardian","OPINION",
"Roisin O'Connor","November 24, 2016 Thursday 5:17 PM GMT",,"Benjamin Zephaniah: 'After the Brexit vote I experienced racism that I hadn't since the 80s'; 'After the result they felt that they could be racist - they had that confidence'","1048 words","The Independent (United Kingdom)","FEATURES",
"Steve Dow","November 23, 2016 Wednesday 3:52 AM GMT",,"In an angry world of Trumpism and Brexit, theatre can save lives; From Hamilton to Every Brilliant Thing, the dark theatre space hones our attention and shapes the empathy we sorely need","1048 words","The Guardian","STAGE",
"GRAHAM HISCOTT","November 15, 2016 Tuesday",,"Homes firm beats Brexit; CITY DESK","106 words","Daily Mirror","FEATURES; Pg. 33",
"LOUISE ECCLES, PERSONAL FINANCE CORRESPONDENT FOR THE DAILY MAIL","November 15, 2016 Tuesday 11:02 PM GMT",,"Homes for sale fall to 40-year low: Brexit, stamp duty and tax hikes on landlords leave average estate agent with just 44 properties on its book","106 words","MailOnline","MORTGAGES & HOME",
"Anand Menon","November 14, 2016 Monday 5:39 PM GMT",,"Bad news for leavers - the EU has bigger priorities than Brexit; France and Germany have elections, the Czech Republic has migration concerns - and unfortunately for Theresa May, this matters","1060 words","The Guardian","OPINION",
"Ben Chapman","November 15, 2016 Tuesday 9:21 AM GMT",,"Cannabis, Brexit, Taylor Wimpey: Business news in brief Tuesday 15 November; Legal weed companies lick wounds after Trump victory, CME debates Dublin move, House builder sees 'robust' market","1061 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Rafael Behr","November 22, 2016 Tuesday 5:04 PM GMT",,"Farage has hijacked the Tories' flight to Trumpland; The leavers' Brexit henchman was never going to just vanish after 23 June. But now he's undermining Theresa May, and nerves are fraying","1065 words","The Guardian","OPINION",
"By James Connington","November 25, 2016 Friday 8:12 AM GMT",,"'Why I bought more Lloyds shares after Brexit'","1066 words","telegraph.co.uk","INVESTING",
"SIMON WALTERS POLITICAL EDITOR FOR THE MAIL ON SUNDAY","November 20, 2016 Sunday 1:12 AM GMT",,"Bumbling Boris's Brexit 'blunder' (part three): After prosecco and trade gaffes... now Johnson is accused of bringing the WRONG notes to Cabinet","1077 words","MailOnline","NEWS",
"Philip Collins","November 18, 2016 Friday",,"How May can break free from Brexit muddle; Rather than rushing through a bad agreement the PM needs to seal a transitional deal to take us past the next election","1078 words","The Times (London)","NEWS; Pg. 29",
"ANDREW NICOLL","November 23, 2016 Wednesday",,"Tory blast at 'secret Nat talks' on Brexit","108 words","The Sun (England)","NEWS; Pg. 2",
"DOMINIC RAAB","November 21, 2016 Monday",,"A positive attitude and united front will make a big difference to Brexit; As the popular mood turns towards making a success of our departure, the sniping should be stopped","1081 words","The Daily Telegraph (London)","NEWS; Pg. 18",
"By Allister Heath","November 23, 2016 Wednesday 7:55 PM GMT",,"Brexit Britain needed a radical vision, but timid Hammond played it safe","1082 words","telegraph.co.uk","BUSINESS",
"HARRY COLE","November 25, 2016 Friday",,"Savings on Brexit 'must go to NHS'","109 words","The Sun (England)","NEWS; Pg. 9",
"ISOBEL FRODSHAM FOR MAILONLINE","November 23, 2016 Wednesday 9:33 PM GMT",,"You're spoiling us! Nigel Farage rehearses for job as ambassador to Donald Trump's US at Ritz party to celebrate Brexit victory","109 words","MailOnline","NEWS",
"Anushka Asthana, Heather Stewart and Peter Walker","November 15, 2016 Tuesday 1:48 PM GMT",,"Brexit: civil service facing its largest task since WWII, says union; Association representing leading public servants warns against 'Brexit on the cheap', amid fears there will be no extra resources in the autumn statement","1092 words","The Guardian","POLITICS",
"LOUISE ECCLES, PERSONAL FINANCE CORRESPONDENT FOR THE DAILY MAIL","November 15, 2016 Tuesday 11:02 PM GMT",,"Homes for sale fall to 40-year low, due to Brexit anxiety and tax hikes on landlords","110 words","MailOnline","MORTGAGES & HOME",
"Klaus Dodds","November 23, 2016 Wednesday 2:31 PM GMT",,"How Donald Trump and Brexit will affect James Bond; The UK's cyber-security defences face further challenges as industrial espionage and military and intelligence hacking intensifies","1102 words","The Independent (United Kingdom)","FEATURES",
"CHRIS MUSSON","November 24, 2016 Thursday",,"BREXIT TO EXIT; CHANCELLOR UNVEILS BLEAK BLUEPRINT ; lHammond's grim outlook on finances lIt's ammo for the Nats in indy battle","1103 words","The Sun (England)","NEWS; Pg. 8,9",
"By James Kirkup","November 21, 2016 Monday 1:16 PM GMT",,"A 'transitional' Brexit would be messy and controversial - and very British","1109 words","telegraph.co.uk","NEWS",
"By Fraser Nelson","November 17, 2016 Thursday 7:00 PM GMT",,"Theresa May's Brexit strategy is to become the Killer Queen - and it is working brilliantly","1110 words","telegraph.co.uk","NEWS",
"John McDonnell","November 19, 2016 Saturday 9:00 PM GMT",,"Philip Hammond must signal genuine change, not tinker at the edges; The chancellor cannot just blame Brexit in the autumn statement - many of the problems we face were introduced by his predecessor's heavy-handedness","1116 words","The Observer (London)","OPINION",
"Martin Kettle","November 17, 2016 Thursday 7:04 PM GMT",,"MPs can see off hard Brexit. The ball is in their court; Finally progressives in parliament have a chance to change our ruinous trajectory. They should seize it","1117 words","The Guardian","OPINION",
"Owen Jones","November 17, 2016 Thursday 6:00 AM GMT",,"Don't be divided by Trump and Brexit: minorities are part of the working class; Identity politics have always been part of the struggle. Those who claim there's a backlash only seek to drive us apart","1117 words","The Guardian","OPINION",
"Peter Dominiczak","November 15, 2016 Tuesday",,"Whitehall staff 'unable to agree on Brexit plan'; US election: the aftermath","112 words","The Daily Telegraph (London)","NEWS; Pg. 11",
"Larry Elliott","November 20, 2016 Sunday 2:48 PM GMT",,"Jam tomorrow: all Philip Hammond is likely to offer struggling Britons; Chancellor's autumn statement unlikely to do much for the 'just about managing' families who voted keenly for Brexit","1120 words","The Guardian","BUSINESS",
"Alexis Petridis","November 24, 2016 Thursday 6:11 PM GMT",,"Making plans for Nigel: how Trump can keep Shambassador Farage busy; Mr Brexit could become Mr Fixit for the president-elect's inaugural celebration. Are Atomic Kitten and Bucks Fizz available?","1122 words","The Guardian","LIFE AND STYLE",
"Rafael Behr","November 16, 2016 Wednesday 6:00 AM GMT",,"Brexit Britain needs to know: is Emperor May naked?; The prime minister says she is hiding her strategy for EU withdrawal. But the growing fear is that she hasn't got one","1129 words","The Guardian","OPINION",
"By Nick Harding","November 21, 2016 Monday 11:08 PM GMT",,"Katie Price talks Brexit, Donald Trump, the meaning of life and threesomes in revealing Q and A; The former glamour model shows there are many G-strings to her bow as she discusses everything from feminism to plastic surgery","1143 words","mirror.co.uk","3AM,CELEBRITY NEWS",
"Kevin McKenna","November 20, 2016 Sunday 12:01 AM GMT",,"Forget Trump and Brexit, we need to talk about Toblerone; There are plenty of really pressing issues to discuss - the plight of triangular chocolate, Buckfast wine and the benefits of smoking","1148 words","The Observer (London)","OPINION",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 16, 2016 Wednesday 10:03 AM GMT",,"'The chickens have come home to roost!' No 10 poverty tsar says people voted for Brexit because of widening gulf between 'haves' and 'have nots'","1149 words","MailOnline","NEWS",
"ELEANOR LAWRIE FOR THISISMONEY.CO.UK","November 18, 2016 Friday 3:09 PM GMT",,"After Brexit and Trump, a third global iceberg looms: How Italy's referendum could send shockwaves through the EU and beyond","1152 words","MailOnline","INVESTING",
"Macer Hall","November 25, 2016 Friday",,"BRITAIN'S £32BN BREXIT BONUS; £10bn extra every year to spend on NHS","1159 words","The Express","NEWS; Pg. 1,6,7",
"STEVE HAWKES","November 22, 2016 Tuesday",,"Weaker £ lifts food exports; BREXIT 3","116 words","The Sun (England)","NEWS; Pg. 6",
"Greg Heffer, Political Reporter","November 21, 2016 Monday 9:54 AM GMT",,"Theresa May hints at INTERIM Brexit deal with EU to avoid UK plunging off 'cliff edge'","1174 words","Express Online",,
"Katie Allen and Peter Walker","November 23, 2016 Wednesday 1:36 PM GMT",,"Philip Hammond admits Brexit vote means £122bn extra borrowing; Chancellor delays plans to balance books in autumn statement as he unveils investment in rail, telecoms and housing","1178 words","The Guardian","UK NEWS",
"By Tara Cunningham, Business Reporter and Harry Yorke and Michael Wilkinson, Political Correspondent","November 23, 2016 Wednesday 8:37 AM GMT",,"Autumn Statement: Philip Hammond vows to make Britain 'match fit' after Brexit - but £122bn of extra borrowing will take national debt to nearly £2 trillion","11870 words","telegraph.co.uk","BUSINESS",
"David Maddox, EXCLUSIVE","November 15, 2016 Tuesday 12:01 AM GMT",,"FULL STEAM AHEAD FOR BREXIT: Blow for Remoaners as Labour to SNUB plot to thwart EU exit","1196 words","Express Online",,
"LESLEY-ANNE McKEOWN","November 17, 2016 Thursday",,"'Brexit is a threat to peace process'","120 words","The Sun (England)","NEWS; Pg. 22",
"Jessica Elgot","November 14, 2016 Monday 12:01 AM GMT",,"Theresa May sets out stall for UK's place in Trump's world; Britain must be global leader in free trade, says PM, after Brexit vote and Donald Trump's election as US president","1211 words","The Guardian","POLITICS",
"LESLEY-ANNE","November 14, 2016 Monday",,"Flanagan: EU bond greater than Brexit","122 words","Daily Mirror","NEWS; Pg. 4",
"By Dominic Raab","November 20, 2016 Sunday 8:45 PM GMT",,"Brexit means Britain can be an even greater ally to our European friends","1221 words","telegraph.co.uk","NEWS",
"By Tim Stanley","November 19, 2016 Saturday 8:00 AM GMT",,"Calling Trump and Brexit voters post-truth fascists won't win the Left any elections","1225 words","telegraph.co.uk","NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 20, 2016 Sunday 8:09 AM GMT",,"EU leaders want to force Britain into a 'hard Brexit' as they fear showing weakness will empower Marine Le Pen and spell the end of the union","1227 words","MailOnline","NEWS",
"BY STEPHEN GLOVER","November 17, 2016 Thursday",,"THE SUPREME COURT JUDGE'S SPEECH THAT MAKES ME FEAR BREXIT COULD BE BOGGED DOWN FOR YEARS","1228 words","DAILY MAIL (London)",,
"Ben Chapman","November 17, 2016 Thursday 12:29 PM GMT",,"Property, Rolls-Royce, Hugo Boss: Business news in brief, Thursday 17 November; Brexit pushes house builders into the red; Troubled luxury car maker announces more cuts; Fashion brand profits plummet","1232 words","The Independent (United Kingdom)","BUSINESS NEWS",
"BY SEBASTIAN SHAKESPEARE","November 18, 2016 Friday",,"DID ANGRY JUDGES SNUB TRUSS OVER BREXIT ROW?","1234 words","DAILY MAIL (London)",,
"LESLEY-ANNE McKEOWN","November 25, 2016 Friday",,"Birdman of Louth unruffled by Brexit","124 words","The Sun (England)","NEWS; Pg. 24",
"RHODRI PHILLIPS","November 18, 2016 Friday",,"SHOPS' COLD RUSH; Autumn sales in biggest boom for over 14 years BREXIT BOOST 1","124 words","The Sun (England)","NEWS; Pg. 8",
"KEVAN FURBANK","November 16, 2016 Wednesday",,"Brexit anger is really heating up","124 words","Daily Mirror","FEATURES; OPINION COLUMN; Pg. 17",
"By Chris Leslie, former shadow chancellor","November 18, 2016 Friday 10:45 AM GMT",,"Philip Hammond must learn from George Osborne's mistakes in order to safeguard Brexit Britain","1247 words","telegraph.co.uk","NEWS",
"Alice Foster","November 23, 2016 Wednesday 11:00 AM GMT",,"What is Brexit and what is going to happen now that Britain has voted to LEAVE the EU?","1253 words","Express Online",,
"Katie Allen","November 14, 2016 Monday 1:00 PM GMT",,"Economic frustration has spawned Trump and Brexit, warns UN labour chief; Rise in zero-hours contracts, gig economy and unreliable pay have fed revolt, says ILO boss Guy Ryder","1253 words","The Guardian","BUSINESS",
"By Charles Moore","November 25, 2016 Friday 7:27 PM GMT",,"Brexit must not be part of Theresa May's plan. It must be her whole plan","1258 words","telegraph.co.uk","NEWS",
"Jonathan Freedland","November 19, 2016 Saturday 6:00 AM GMT",,"Brexit and Trump have exposed the left's crucial flaw: playing by the rules; If the leavers or the alt-right had lost the vote, they would be howling. The remain camp and the Democrats must learn a tactical lesson - sheer ruthlessness","1263 words","The Guardian","OPINION",
"JAMES SLACK POLITICAL EDITOR FOR THE DAILY MAIL","November 22, 2016 Tuesday 12:35 AM GMT",,"Theresa May soothes the Brexit jitters: No cliff edge when we quit but deal will cost billions, PM warns","1281 words","MailOnline","NEWS",
"By Michael Wilkinson, Political Correspondent","November 16, 2016 Wednesday 8:05 AM GMT",,"Angela Merkel hints at free movement compromise ahead of Theresa May's Brexit talks","1295 words","telegraph.co.uk","NEWS",
"By Robert Mendick, Chief Reporter and Laura Hughes, Political Correspondent","November 18, 2016 Friday 10:00 PM GMT",,"Supreme Court's most senior judge urged to stand down from Article 50 legal hearing over wife's anti-Brexit Twitter posts","1298 words","telegraph.co.uk","NEWS",
"KATIE HOPKINS FOR MAILONLINE","November 22, 2016 Tuesday 1:50 PM GMT",,"College liberals think people who voted for Trump and Brexit are dumb but letting them brainwash our society is what's stupid","1300 words","MailOnline","NEWS",
,"November 22, 2016 Tuesday",,"Letters to the Editor Brexit and the law","131 words","The Daily Telegraph (London)","NEWS; Pg. 19",
"Claudia Cuskelly","November 23, 2016 Wednesday 9:57 AM GMT",,"Post-Brexit travel BOOM: 13 ways to make the MOST of your next holiday","1312 words","Express Online",,
"Will Hutton","November 21, 2016 Monday 7:30 AM GMT",,"All Out War; The Brexit Club; The Bad Boys of Brexit review - rollicking referendum recollections; Three excellent accounts of the EU referendum campaigning expose the petty conniving of all involved","1315 words","The Observer (London)","BOOKS",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 24, 2016 Thursday 1:13 PM GMT",,"Real wages will STILL be worth less in 2021 than they were in 2008 as Brexit slowdown makes stall in salary growth the worst since the end of World War 2","1332 words","MailOnline","NEWS",
"JEFF FARRELL","November 17, 2016 Thursday",,"BREXIT NEEDS ITS OWN LAW; 10yr delay to quit EU","134 words","Daily Star","NEWS; Pg. 2",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 22, 2016 Tuesday 6:12 PM GMT",,"Donald Trump urges Britain's Brexit leader Nigel Farage to help his campaign to ban wind farms in site of his luxury Scottish golf resort","1363 words","MailOnline","NEWS",
"Heather Stewart, Rowena Mason","November 23, 2016 Wednesday 8:39 PM GMT",,"Brexit will blow £59bn hole in public finances, admits Hammond; Chancellor attempts to strike cautiously upbeat tone but OBR warns of extra borrowing over next five years","1365 words","The Guardian","UK NEWS",
"By Michael Wilkinson, Political Correspondent","November 15, 2016 Tuesday 8:38 AM GMT",,"Theresa May's Government has no Brexit plan, leaked memo says","1390 words","telegraph.co.uk","NEWS",
"Ben Chapman","November 22, 2016 Tuesday 10:33 AM GMT",,"BT, Brexit, Goldman Sachs: Business news in brief, Tuesday 22 November; Competition fears over mobile phone spectrum sale; ECB telks London banks not to rush moves to Europe; Michael Sherwood leaves investment banking giant","1394 words","The Independent (United Kingdom)","BUSINESS NEWS",
"BY JACK GAUGHAN","November 18, 2016 Friday",,"UNITED BLAME DEBT RISE ON BREXIT","140 words","DAILY MAIL (London)",,
"Ben Chu","November 23, 2016 Wednesday 2:34 PM GMT",,"Autumn Statement: The one chart that shows what Brexit will do to Britain; Some £58bn of the£122bn deterioration in the public financies by 2021is due, according to the Office for Budget Responsibility, directly to Brexit","141 words","The Independent (United Kingdom)","BUSINESS NEWS",
"THE Sun","November 16, 2016 Wednesday",,"THE Sun SAYS Brexit bunk","141 words","The Sun (England)","EDITORIAL; OPINION; LEADING ARTICLES; Pg. 10",
"By Robert Midgley","November 21, 2016 Monday 12:46 PM GMT",,"What is the difference between a 'Hard' and 'Soft' Brexit?","143 words","telegraph.co.uk","NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 20, 2016 Sunday 2:33 PM GMT",,"'Stop this endless pessimism!' Tory MPs blast Chancellor Philip Hammond after he warns of rising inflation, slower growth and 'eye-watering debt' in latest doom-laden Brexit warning","1450 words","MailOnline","NEWS",
"Josh Lowe","November 18, 2016 Friday 6:46 PM GMT",,"After the Brexit vote, Britain's Poles are facing an uncertain future","1462 words","The Independent (United Kingdom)","HOME NEWS",
"David Maddox","November 25, 2016 Friday 9:00 PM GMT",,"Brexit will SAVE the NHS: Cancer specialist says leaving EU will rescue our health service","1489 words","Express Online",,
,"November 25, 2016 Friday",,"'Other' triple lock which threatens success of Brexit; Letter of the day","149 words","The Express","LETTERS; Pg. 39",
,"November 16, 2016 Wednesday",,"Brexit to put a brake [...]","149 words","The Times (London)","BUSINESS; Pg. 46",
"Christopher Hope ; David Lawler","November 25, 2016 Friday",,"Farage goes on tour in US as 'Mr Brexit'","150 words","The Daily Telegraph (London)","NEWS; Pg. 2",
,"November 22, 2016",,"Brexit minister meets EU's head negotiator; EUROPE","150 words","i-Independent Print Ltd","NEWS; Pg. 7",
"BY DAILY MAIL REPORTER","November 14, 2016 Monday",,"NEW LONDON SKYSCRAPER TO RISE DESPITE BREXIT VOTE","152 words","DAILY MAIL (London)",,
,"November 16, 2016 Wednesday",,"Concern over Brexit and opportunities in China","153 words","The Times (London)","BUSINESS; Pg. 48",
"Ben Chapman","November 16, 2016 Wednesday 10:44 AM GMT",,"TalkTalk, Premier Foods, ECB: Business news in brief, Wednesday 16 November; Telecoms group recovers after cyber attack; Mr Kipling cakes maker takes action to combat Brexit effects; ECB aims to lure London banks","1537 words","The Independent (United Kingdom)","BUSINESS NEWS",
,"November 20, 2016 Sunday",,"BRANCHING OUT AFTER BREXIT With [...]; Letters to the Editor","155 words","The Sunday Times (London)","LETTERS; Pg. 26",
"Andrew Rawnsley","November 20, 2016 Sunday 12:04 AM GMT",,"The shock lessons for liberals from Brexit and the Trumpquake; The new demagogues on either side of the Atlantic are ripping up the traditional rules of electoral politics","1555 words","The Observer (London)","OPINION",
"THE Sun","November 22, 2016 Tuesday",,"THE Sun SAYS A tricky Brexit","156 words","The Sun (England)","Pg. 10",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE, TIM SCULTHORPE, DEPUTY POLITICAL EDITOR FOR MAILONLINE and JACK DOYLE SENIOR POLITICAL CORRESPONDENT FOR THE DAILY MAIL","November 21, 2016 Monday 1:38 AM GMT",,"People don't trust you any more! PM orders business chiefs to clean up their act and embrace Brexit - but hints at 'transitional' deal with Brussels to ease the impact on City firms","1567 words","MailOnline","NEWS",
"BY NO BYLINE AVAILABLE","November 24, 2016 Thursday",,"BREXIT MEANS 80,000 FEWER MIGRANTS A YEAR","157 words","DAILY MAIL (London)",,
"SABAH MEDDINGS FOR THE DAILY MAIL and MARTIN ROBINSON, UK CHIEF REPORTER FOR MAILONLINE","November 16, 2016 Wednesday 9:54 AM GMT",,"Google plans to build a huge new London HQ for 7,000 employees in 'major vote of confidence' for post Brexit Britain (...just don't mention tax)","1582 words","MailOnline","NEWS",
"Hayden Smith","November 15, 2016",,"Crime without borders: UK to stay in Europol until Brexit; POLICE","160 words","i-Independent Print Ltd","NEWS; Pg. 6",
"Russell Lynch","November 24, 2016",,"Profits fall as CMC blames Brexit slowdown; FINANCE","162 words","i-Independent Print Ltd","FEATURES; Pg. 41",
"Sarah Marsh","November 14, 2016 Monday 11:24 AM GMT",,"1960s generation: how do you feel about our changing times?; From Donald Trump to Brexit, the world is changing rapidly. We want to know how those who fought for political change in the 1960s feel","162 words","The Guardian","POLITICS",
"Tim Richardson","November 19, 2016 Saturday",,"Anyone for a horticultural Brexit?; For decades the European look - grasses and perennials - has held sway in our borders. But is it time to go back to our British planting roots? Tim Richardson holds an informal referendum","1637 words","The Daily Telegraph (London)","GARDENING;FEATURES; Pg. 1,2,3",
"BRIAN HUTTON","November 21, 2016 Monday",,"Martin blasts 'slow-motion crash' Brexit","164 words","Daily Mirror","NEWS; Pg. 2",
"By Michael Wilkinson, Political Correspondent","November 16, 2016 Wednesday 8:05 AM GMT",,"Angela Merkel signals key concession on freedom of movement as Canada warms to 'particularly special' relationship with post-Brexit Britain","1641 words","telegraph.co.uk","NEWS",
"Edward Fennell","November 24, 2016 Thursday",,"Brexit threat to courts","165 words","The Times (London)","NEWS; Pg. 71",
"Bruno Waterfield; Lucy Fisher","November 22, 2016 Tuesday",,"Brexit means being patient","165 words","The Times (London)","NEWS; Pg. 2",
"Ashley Cowburn","November 22, 2016 Tuesday 12:17 AM GMT",,"'Theresa May should drop Supreme Court challenge': Zac Goldsmith on Richmond by-election, Heathrow and Brexit; Exclusive: The former Tory MP and the Lib Dem candidate Sarah Onley speak to The Independent about the upcoming by-election in Richmond Park","1666 words","The Independent (United Kingdom)","UK POLITICS",
,"November 21, 2016 Monday 8:30 AM GMT",,"City news: Royal Mail, Brexit and Everyman Cinemas","1681 words","Express Online",,
"Greg Heffer, Political Reporter","November 21, 2016 Monday 9:54 AM GMT",,"Theresa May hails Brexit as vote to 'change the way our country works'","169 words","Express Online",,
"jamesforsyth","November 19, 2016 Saturday",,"BUILD ON DONALD'S BREXIT JOY","169 words","The Sun (England)","EDITORIAL; OPINION COLUMNS; Pg. 10",
,"November 18, 2016 Friday 12:01 AM GMT",,"Letters:Brexit is an opportunity to set migration levels that work for everyone","1700 words","telegraph.co.uk","OPINION",
"By Matthew Scott","November 17, 2016 Thursday 7:14 PM GMT",,"After discussing Brexit's potential legal hitches, Lady Hale may be wise to quit Article 50 case","1729 words","telegraph.co.uk","NEWS",
,"November 20, 2016 Sunday 12:01 AM GMT",,"Letters:MPs who play politics with Brexit will be punished by their constituents","1734 words","telegraph.co.uk","OPINION",
"John Aston","November 19, 2016",,"Scotland and Wales win a say on Brexit; LEGAL","176 words","i-Independent Print Ltd","NEWS; Pg. 4",
"PETER WALKER","November 14, 2016 Monday 2:39 PM GMT",,"Jo Cox murder trial: 'Thomas Mair repeatedly shouted 'Britain First' before shooting and stabbing MP'; Thetrial, surrounding the killing just one week before the landmark Brexit referendum,is expected to last for up to three weeks","176 words","The Independent (United Kingdom)","HOME NEWS",
"By Tim Richardson","November 19, 2016 Saturday 7:00 AM GMT",,"Anyone for a horticultural Brexit?","1760 words","telegraph.co.uk","GARDENING",
,"November 21, 2016 Monday 12:01 AM GMT",,"Letters:In trying the Brexit appeal, judges' impartiality must be beyond doubt","1769 words","telegraph.co.uk","OPINION",
"ANDREW JAMESON","November 22, 2016 Tuesday",,"PM MAY NEED TO APPLY THE BREXIT BRAKE; May hints at a delay over deal","178 words","Daily Star","NEWS; Pg. 2",
"STEPH COCKROFT FOR MAILONLINE, CHRIS GREENWOOD and EMINE SINMAZ FOR THE DAILY MAIL","November 15, 2016 Tuesday 10:33 AM GMT",,"Jo Cox murder suspect Thomas Mair 'had a Stronger In Europe leaflet in his bag when he murdered the Remain-supporting Labour MP before the Brexit referendum'","1789 words","MailOnline","NEWS",
"Lizzie Rivera","November 17, 2016 Thursday 3:37 PM GMT",,"Revealed: the average cost of buying a UK home post-Brexit vote; After a summer of uncertainty, annual UK house price growth suggests the post-Brexit vote property market is stabilising...","18 words","The Independent (United Kingdom)","PROPERTY",
